date,0,1,2,3,4,total,mean
2000-06-23 04:46:00,2,0,0,0,0,2,0.4
2000-06-26 06:57:00,2,0,0,0,0,2,0.4
2000-06-26 07:13:00,2,0,0,0,0,2,0.4
2000-06-26 07:54:00,2,0,0,0,0,2,0.4
2000-06-27 05:33:00,0,0,0,2,0,2,0.4
2000-06-27 09:40:00,0,0,0,2,0,2,0.4
2000-06-30 05:54:00,2,0,0,0,0,2,0.4
2000-06-30 07:31:00,0,0,0,0,2,2,0.4
2000-07-06 08:45:00,2,0,0,0,0,2,0.4
2000-07-06 09:38:00,0,2,0,0,0,2,0.4
2000-07-07 06:41:00,2,0,0,0,0,2,0.4
2000-07-07 06:56:00,0,0,0,0,2,2,0.4
2000-07-07 09:39:00,0,0,2,0,0,2,0.4
2000-07-07 09:41:00,0,0,2,0,0,2,0.4
2000-07-10 06:54:00,0,2,0,0,0,2,0.4
2000-07-10 06:56:00,2,0,0,0,0,2,0.4
2000-07-10 09:47:00,2,0,0,0,0,2,0.4
2000-07-10 23:12:00,0,0,0,2,0,2,0.4
2000-07-10 23:26:00,0,0,0,2,0,2,0.4
2000-07-11 02:12:00,0,0,2,0,0,2,0.4
2000-07-11 02:50:00,2,0,0,0,0,2,0.4
2000-07-11 05:54:00,2,0,0,0,0,2,0.4
2000-07-11 09:24:00,0,0,0,0,2,2,0.4
2000-07-11 09:59:00,0,0,0,0,2,2,0.4
2000-07-12 07:19:00,0,0,0,2,0,2,0.4
2000-07-13 03:24:00,0,0,0,2,0,2,0.4
2000-07-14 06:51:00,0,0,0,2,0,2,0.4
2000-07-14 06:59:00,1,0,0,0,0,1,0.2
2000-07-14 07:01:00,2,0,0,0,0,2,0.4
2000-07-17 03:46:00,2,0,0,0,0,2,0.4
2000-07-18 02:38:00,0,0,0,2,0,2,0.4
2000-07-19 03:39:00,0,0,0,0,2,2,0.4
2000-07-20 09:59:00,0,0,0,0,2,2,0.4
2000-07-24 03:15:00,0,0,0,2,0,2,0.4
2000-07-25 10:08:00,0,2,0,0,0,2,0.4
2000-07-26 03:44:00,0,2,0,0,0,2,0.4
2000-07-26 03:46:00,0,0,2,0,0,2,0.4
2000-07-26 03:56:00,2,0,0,0,0,2,0.4
2000-08-03 00:12:00,0,0,0,0,2,2,0.4
2000-08-04 05:43:00,0,0,2,0,0,2,0.4
2000-08-04 07:00:00,0,0,2,0,0,2,0.4
2000-08-05 09:38:00,2,0,0,0,0,2,0.4
